,L3,Reporter,Partner,Reporter_Total_Imports,Partner_Total_Imports,Reporter_Total_Exports,Partner_Total_Exports,Ind1,Ind2,Ind3,Ind4
22882,H03,C643,C012,836850354.0,291702022.0,514543818.0,21915.0,0.0,0.0,0.0,0.0
23009,L02,C643,C012,2974918600.0,230105487.0,7904275773.21,282990316.05,0.0,0.0001,0.0031,0.0
23136,L01,C643,C012,639664167.0,334148259.0,65056897618.06,14371721934.15,0.0,0.0003,0.0588,0.0
23263,N09,C643,C012,9899297202.0,1382267969.0,2829868647.05,7002387.73,0.0,0.0028,0.0058,0.0
23390,M01,C643,C012,628439.0,12636.0,95856396274.0,9828265998.0,0.0,0.0,0.0,0.0
23517,M02,C643,C012,1036397182.0,1604064978.0,57228401737.29,5109798643.0,0.0,0.0013,0.0471,0.0
23644,V09,C643,C012,2865447634.0,380969159.0,2280255763.5,18360103.13,0.0,0.0003,0.0019,0.0006
23771,N01,C643,C012,3070078790.0,219833867.0,5164535132.43,794595944.0,0.0002,0.0013,0.0307,0.0008
23898,N02,C643,C012,3891161109.0,430591783.0,3042583394.87,67030421.87,0.0,0.0002,0.0014,0.0
24025,N03,C643,C012,11433208082.0,2022041545.0,1218712932.51,3065285.2,0.0,0.0,0.0,0.0
24152,L03,C643,C012,118906151.0,93512348.0,10265742057.73,1290373771.0,0.0,0.0004,0.048,0.0
24279,P09,C643,C012,4344324212.0,443741140.0,900441768.9,13084364.4,0.0,0.0016,0.0033,0.0008
24406,N04,C643,C012,8798653719.0,2005225945.0,5350780458.26,12063750.76,0.0,0.0002,0.0006,0.0006
24533,R01,C643,C012,3615533652.0,491482361.0,3680440996.9,16927993.0,0.0,0.0002,0.0013,0.0
24660,R03,C643,C012,523354785.0,34080231.0,106969652.63,9617520.0,0.0,0.0,0.0,0.0
24787,O01,C643,C012,662039613.0,154322091.0,11219226912.35,11941358.2,0.0,0.0,0.0013,0.0
24914,O03,C643,C012,2761586561.0,844733429.0,4642123984.77,38622371.67,0.0,0.0014,0.0077,0.0
25041,P01,C643,C012,544068120.0,34899857.0,76147301.18,6631280.0,0.0,0.0,0.0,0.0009
25168,I00,C643,C012,55055876.0,6957870.0,3241309.0,932883.0,0.0,0.0,0.0,0.0
25295,P03,C643,C012,1013975620.0,281480284.0,143385699.5,4788324.89,0.0,0.0,0.0,0.0
25422,Q01,C643,C012,6316487622.0,446770825.0,413342171.36,1568090.93,0.0,0.0,0.0,0.0
25549,Q02,C643,C012,597026748.0,34178081.0,40526728.81,54746.21,0.0,0.0,0.0,0.0
25676,R05,C643,C012,2853334218.0,208237102.0,203479942.34,100852.0,0.0,0.0,0.0,0.0
25803,L04,C643,C012,3033252691.0,698551882.0,6443785272.81,34702827.57,0.0,0.0,0.0001,0.0
25930,L05,C643,C012,3534015060.0,823919559.0,51203844927.08,13056306.0,0.0,0.0,0.0001,0.0
26057,L06,C643,C012,8978140166.0,5114030661.0,31811514694.43,769442313.27,0.0,0.0155,0.0963,0.0
26184,S05,C643,C012,1861134103.0,584585682.0,780245100.55,41918286.0,0.0,0.0,0.0,0.0
26311,L07,C643,C012,3274204961.0,383797610.0,481127574.72,1018462.0,0.0,0.0115,0.0144,0.0088
26438,S03,C643,C012,4094462579.0,827156313.0,2216437169.15,15201824.0,0.0,0.0062,0.0166,0.0008
26565,S02,C643,C012,10975221129.0,2586927155.0,1162442169.06,4607561.69,0.0,0.0,0.0,0.0
26692,S01,C643,C012,17363104360.0,3687872149.0,1907950554.35,11033000.0,0.0,0.0002,0.0001,0.0031
26819,S04,C643,C012,8919036802.0,529385929.0,316312595.05,892563.86,0.0,0.0,0.0,0.0613
26946,T09,C643,C012,3508029040.0,406632317.0,732975774.69,1730528.0,0.0,0.0045,0.0081,0.0839
27073,T01,C643,C012,4072733953.0,636128070.0,536700807.19,2160833.88,0.0,0.0001,0.0001,0.0643
27200,T06,C643,C012,2833492717.0,91673707.0,332501994.84,996342.0,0.0,0.0,0.0,0.0
27327,T04,C643,C012,12272742257.0,1421131282.0,801395764.25,6065563.19,0.0,0.2118,0.1195,0.0116
27454,T03,C643,C012,1928198553.0,118093199.0,182553038.8,255267.0,0.0,0.0,0.0,0.0445
27581,T05,C643,C012,1137240658.0,369056708.0,423016724.68,2196661.18,0.0,0.0,0.0,0.0039
27708,T02,C643,C012,4243175343.0,910119004.0,886091156.95,5641292.18,0.0,0.0005,0.0005,0.0101
27835,U01,C643,C012,2418328657.0,715812010.0,1162097133.59,168407.0,0.0,0.0,0.0,0.0
27962,U09,C643,C012,852557732.0,106986531.0,65963488.75,173657.0,0.0,0.0,0.0,0.0
